id,description
471,Los Papeles de Bárcenas del toreo: investigan la agenda de Perera con pagos en 'cash'
472,JxCAT irá al choque con ERC para intentar de nuevo que Puigdemont sea 'president'
473,Los técnicos del rescate de Julen: "Antes de 48 horas. sabremos si está a 70 metros"
474,Última hora sobre el niño en el pozo de Málaga: dificultades a 52 metros del túnel
475,La ofrenda a la Virgen de la Soledad: así se embolsó la Gürtel 55.000 € en Arganda
476,Avergonzados de ser pobres: la caída silenciosa de una familia de clase media
477,Jueces que critican el 'procés' desde cuentas anónimas en redes. objetivo de Anonymous
478,Gobierno andaluz a dos velocidades y con bicefalia: duelo Moreno-Rivera en el estreno
479,El PP entierra con honores el marianismo y se lanza a combatir a Vox a campo abierto
480,El carbón en Madrid: la calefacción produce casi el 20% de la contaminación 
481,10 provincias en alerta por lluvia. nieve y viento (pero lo peor llegará este martes)
482,Errejón. dispuesto a dejar su escaño en Podemos: "Valoro más mis ideas"
483,El escrito viral entre los independentistas que alienta la algarada callejera
484,Vox se fundó en 2013 con un millón de euros procedentes del exilio iraní
485,Estos son lo financiadores del partido de Abascal
486,El terreno ralentiza de nuevo las labores de rescate de Julen
487,Casado llama al votante de Vox a volver al PP con su discurso más duro
488,El líder del PP se la juega a todo o nada en la derecha
489,Así preparó el líder de los populares su discurso más duro para que los votantes de Vox vuelvan “a casa”
490,La fiscalía no recurrirá la división en dos de la causa independentista
491,El PSOE basará su estrategia electoral en la lucha contra la desigualdad y la exclusión social
492,Las pruebas del juicio de Pablo Ibar que manejó el jurado
493,La dirección de Podemos evita pedir a Errejón que deje el escaño
494,Podemos: el partido en el que no caben dos amigos
495,Piedras. hormigón y hasta carritos para parar un tren
496,Veinte años en las cloacas de Villarejo
497,La policía investiga la muerte a tiros de un hombre en Marbella
498,España lidera la incautación de cocaína en Europa
499,Ocho detenidos por un alijo de 350 kilos de cocaína capturado en Galicia
500,Los Mossos investigan la muerte de un detenido en una comisaría de Barcelona
501,“Es un error creer que tenemos conquistada la libertad para siempre”
502,Meteorología alerta de un fuerte temporal de nieve. lluvia y viento de martes a jueves
503,Interior compró una pistola al chófer de Bárcenas
504,Desarmes y rearmes de la Convención
505,La otra Reconquista
506,Golpe a las conciencias después de tres décadas de inmigración en el Estrecho
507,Podemos busca enterrar la era Errejón... o no
508,Un traspaso de poderes plagado de minas
509,Pide 25 años para el asesino del hombre con tirantes con la bandera española
510,Desmantelado uno de los mayores laboratorios de cocaína de Europa
511,Los padres de la concertada exigen al Gobierno vasco "mediación"
512,El Govern discrimina a una docente de baja por un embarazo de riesgo
513,Gaspar Llamazares dimite como diputado y no será candidato de Izquierda Unida en Asturias
514,Constituir un todo
515,Julen. una semana de infierno en el pozo
516,El juez investiga quién es 'El Barbas' del PP a quien Villarejo se jacta de ayudar en sus grabaciones
517,Pablo Casado ofrece un 'contrato liberal' para regresar al 'PP verdadero'
518,El maquinista del Alvia pide perdón a las víctimas y asegura que está dispuesto a entrar en la cárcel
519,El decálogo de Casado para llegar a La Moncloa
520,Vox afirma que el PP de Casado le copia los discursos y "hasta los eslóganes"
521,Sánchez: "Viva España. claro. pero que no viva enfrentada como quieren las tres derechas"
522,Casado pide "unir el voto" frente a los "que se disfrazan de PP"
523,Los familiares de dos grafiteros españoles muertos piden justicia
524,Moreno llama al PP a "extender el acuerdo andaluz al resto de autonomías"
525,Feijóo: "Achicar el PP sería un error. debería abarcar el centro más amplio"
526,Casado acepta orillar los temas polémicos para coser el partido
527,Íñigo Errejón acusa a Pablo Iglesias de llevar a Podemos al "conformismo". la desilusión y el inmovilismo
528,Aznar bendice a Casado y advierte contra la "moda estridente" de Vox
529,Mario Vargas Llosa reclama dar la batalla "de las ideas y electoral" contra el nacionalismo
530,El "partido del empleo" y los tres tenores liberales
531,Declaran culpable a Pablo Ibar del triple asesinato cometido en EEUU en 1994
532,Podemos reclama a los líderes territoriales un cierre de filas para reponerse del "golpe" de Errejón
533,Sin justicia para las víctimas del 'doble crimen del Cash Récord'
534,Sánchez reprocha al nacionalismo canario sus críticas a los Presupuestos
535,La Fiscalía alerta de que algunos mensajes de Vox podrían alentar el discurso de odio
536,La prisión no veía "reinsertable" al hombre que mató a su mujer y luego asesinó a su abogada en Zaragoza
537,Íñigo exclama 'Eureka'
538,Madrid. la punta del iceberg de los conflictos de Podemos
539,Pablo Iglesias impone la ruptura definitiva: desdeña todo gesto con Íñigo Errejón
540,Radicales se proponen sabotear el traslado de los presos del 'procés' a Madrid para el juicio del 1-O
541,Los dos PP se citan en armónica división
542,Rajoy se reivindica y pide al nuevo PP no ser "doctrinario"
543,Cómo refundar a Rajoy
544,El Gobierno retirará las concertinas sólo de "las zonas más vulnerables"
545,Marlaska acusa al PP de usar medios públicos de forma ilícita
546,Feijóo defiende al PP como un partido "sin fundamentalismos" sobre España
547,El Congreso Nacional del PP. en directo
548,Mató a su mujer en 2003 y ahora asesina a la abogada que le defendió. con la que tenía una relación
549,Un 'estado doloroso de ánimo': así defendió la abogada asesinada a su homicida en 2004
550,Violencia de género: ¿el enero más mortal de la historia?
551,Echenique acusa a Errejón de aferrarse a Podemos y su escaño de diputado "porque de algo tiene que vivir"
552,El Gobierno minimiza las críticas y apuesta por dialogar con Cataluña
553,Un comisario socio de Villarejo declara que Pino ordenó investigar a Bárcenas
554,El asesino de la abogada de Zaragoza logró la libertad condicional en contra del criterio de la prisión
555,El Supremo anula la condena a una mujer que atacó con un cuchillo a su pareja. que la había agredido
556,El CGPJ aparta a su jefe informático por su relación con el ex comisario Villarejo
557,Rueda de prensa tras la reunión del Consejo de Ministros. en directo
558,Levy. sobre Cosidó. portavoz del PP en el Senado: quien comete hechos "repugnantes" no tiene cabida
559,Toma de posesión de Juan Manuel Moreno como presidente de la Junta de Andalucía. en directo
560,Así funciona GyroMaster. la tuneladora sueca que participa en las labores de rescate de Julen
561,La identidad de Ciudadanos
562,Casado apela a reencontrarse en los valores liberales frente a Vox
563,Test: ¿Eres el que mejor puede vender tu casa?
564,Grand Finale 
